filmtv_id,title,year,genre,duration,country,director,actors,avg_vote,votes,description,notes
2,Bugs Bunny's Third Movie: 1001 Rabbit Tales,1982,Animation,76,United States,"David Detiege, Art Davis, Bill Perez",,7.7,31,"With two protruding incisors, a little crafty air and a certain propensity for carrots, Bugs Bunny is one of the most popular cartoon heroes, especially in the United States. In this anthology, in addition to the bunny, there are other heroes of the cartoon Warner: Silvestro and Titti, engaged in a ruthless but useless hunt, Daffy Duck (the duckling that over time imitates Walt Disney's Donald Duck) and others yet.","These are many small independent stories, which can be seen individually. The anthology also includes ""One Froggy Evening"", one of the masterpieces of the artist Chuck Jones."
3,18 anni tra una settimana,1991,Drama,98,Italy,Luigi Perelli,"Kim Rossi Stuart, Simona Cavallari, Ennio Fantastichini, Orso Maria Guerrini, Silli Togni, Maria Pia Calzone, Luciano Curreli, Francesco Maria Dominedò",7,3,"Samantha, not yet eighteen, abandons the comforts of the family and runs away from home. By chance he meets Paolo, a disbanded young man, and falls in love with him, but Paolo is inserted in a gang of camorristi fighting against a rival gang. Paolo is part of the group sent to kill the head of the rivals and Samantha decides to leave him because he is afraid of the turning point that is taking his life.","Luigi Perelli, the director of ""Piovra"", occasionally makes some forays into the cinema but is more at ease on television. The young Camorrista has the face of Kim Rossi Stuart."
17,Ride a Wild Pony,1976,Romantic,91,United States,Don Chaffey,"Michael Craig, John Meillon, Eva Griffith, Graham Rouse, Robert Bettles, Alfred Bell, John Meillon Jr.",5.5,10,"In the Australia of the pioneers a boy and a girl live a short distance from each other, but the social furrow is unbridgeable between them. He is in fact the son of very poor peasants, she the rich heiress of a powerful family. However, fate was not benevolent with the little girl who had a serious illness nailed to a wheelchair. Between the two a contact is established thanks to a pony foal from which both are fascinated.","""Ecological"" fable with a happy ending not without delicate moments and dominated by the splendid natural scenery of the great horizons typical of the Fifth continent."
18,Diner,1982,Comedy,95,United States,Barry Levinson,"Mickey Rourke, Steve Guttenberg, Ellen Barkin, Daniel Stern, Kevin Bacon, Timothy Daly, Paul Reiser, Kelle Kipp, Colette Blonigan",7.2,15,"Five boys from Baltimore are in the habit of meeting periodically for dinner and playing tricks together. One of them, Boogie, is in trouble because of his passion for betting: he owes a gangster two thousand dollars and to find them he keeps betting and losing. The others have marital or sex-related problems, and everyone has a few jokes.",A cast of will be famous for Levinson's directorial debut. Very bitter and very well written: jokes are seen as a manifestation of immaturity rather than carefree; Rourke enhances his charge of beautiful darkness. Guttenberg is the good guy in the group.
20,A che servono questi quattrini?,1942,Comedy,85,Italy,Esodo Pratelli,"Eduardo De Filippo, Peppino De Filippo, Clelia Matania, Paolo Stoppa, Nario Bernardi, Augusto Di Giovanni, Edwige Maul, Italia Marchesini",5.8,12,"With a trick, the Marquis Parascandolo penniless and a little philosopher wants to show that work and money are of no use. To do this he spreads the rumor, actually false, that one of his ""disciples"", the carpenter Vincenzino Esposito, has received a large inheritance. Of course it happens that the man is suddenly respected by everyone and is truly enriched.","Taken from the theatrical piece by Armando Curcio that the De Filippo had brought to the stage two years earlier. More than cinema, it is filmed theater, but the two brothers are always great."
21,The Uranian Conspiracy,1978,Spy,117,"Italy, Germany, Israel","Gianfranco Baldanello, Menahem Golan","Fabio Testi, Janet Agren, Assaf Dayan, Siegfried Rauch, Oded Kotler, Gianni Rizzo, Herbert Fux",5,2,Two Israeli secret agents discover that the traffickers headed by the Baron are about to deliver radioactive material to the Arabs. But the Baron captures one of them and keeps him prisoner right on the freighter with the terrible goods that the Israelis are preparing to blow up.,"Action and pursuits for half of Europe, espionage as the cradle of heroism and virile friendships: the ingredients are not very fresh, but the dish is cooked with the cunning of the old fox like Menahem Golan (""Over the Top"")."
22,A ciascuno il suo,1967,Drama,93,Italy,Elio Petri,"Gian Maria Volonté, Irene Papas, Gabriele Ferzetti, Salvo Randone, Laura Nucci, Mario Scaccia, Luigi Pistilli, Leopoldo Trieste",7.8,102,"Investigations into two murders carried out in a small town in Sicily lead to the conclusion that it was a crime of honor. Paolo Laurana, a high school professor, is not convinced and confides his doubts to the lawyer Rosello. Continuing his investigations, however, Laurana realizes that the principal of the double murder is indeed the lawyer, with the complicity of Luisa, the widow of one of the victims. Laurana dies under the blows of a killer; the lawyer Rosello and Luisa get married.","Elio Petri, champion of civil commitment, refines his style, starting from this film, corrosive and lucid in the denunciation of the mafia culture."
23,Dead-Bang,1989,Crime,109,United States,John Frankenheimer,"Don Johnson, Penelope Ann Miller, William Forsythe, Bob Balaban, Tate Donovan, Tim Reid, Michael Jeter, Brad Sullivan",6,18,"Faced with a double murder, Jerry Beck, of the Los Angeles police, plunges into the hell of a neo-Nazi movement that in the land of freedom wants to exclude Negroes, Jews and homosexuals in the name of an alleged superiority of the white race. The FBI also enters the field, but Beck will have to do everything by himself, even using rather brutal ways to be able to eliminate the culprits.","When it comes to talking about mysterious plots, John Frankenheimer (""Seven days in May"", ""Go and kill"") is a big one. A good thriller, despite the presence of Don Johnson who is not exactly a ductility monster."
24,A... come assassino,1966,Thriller,80,Italy,Ray Morrison (Angelo Dorigo),"Alan Steel, Mary Arden, Sergio Ciani, Ivano Davoli, Giovanna Galletti, Aïché Nana, Charlie Charun, Gilberto Mazzi",6.5,3,"After the corpse of a man is found by his niece in the family manor, seven relatives are invited to attend the reading of the will. But only three of them will be the beneficiaries: more precisely those who, after a month spent in the castle, will still be alive ...",Go-go approximation and mediocrity.
26,At Close Range,1986,Drama,115,United States,James Foley,"Christopher Walken, Sean Penn, Chris Penn, Mary Stuart Masterson, Millie Perkins, Eileen Ryan, Tracey Walter, David Strathairn, Kiefer Sutherland, Candy Clark",7.5,84,"The young Brad (Penn) vivacchia with his grandmother and separated mother until dad (Walken), a criminal of rural America, reappears to enlist him in his gang. The boy thinks he has the great opportunity to become someone, but when he is arrested his father, who does not want witnesses against him, becomes his most ruthless enemy.","Powerful and heinous thriller, second work by James Foley, which makes the confrontation between father and son in the tones of a classic tragedy. Excellent performers: the young Sean Penn manages to do well next to a master like Walken, Oscar 1979 for ""Il cacciatore""."
